         83757 function calls (80757 primitive calls) in 0.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
       15    0.000    0.000    0.000    0.000 arrayprint.py:463(wrapper)
      357    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 meta.py:441(_add_builtin_meta_specs)
       30    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       53    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
    36/30    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 random.py:88(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:281(rng)
      366    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
        2    0.000    0.000    0.000    0.000 random.py:97(seed)
        4    0.000    0.000    0.000    0.000 typing.py:238(_tp_cache)
        3    0.000    0.000    0.000    0.000 typing.py:177(_subs_tvars)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
      128    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0xb6256b70}
       26    0.000    0.000    0.000    0.000 typing.py:110(_type_check)
        2    0.000    0.000    0.000    0.000 typing.py:1168(__class_getitem__)
      359    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        3    0.000    0.000    0.000    0.000 typing.py:630(copy_with)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
        9    0.000    0.000    0.000    0.000 abc.py:130(register)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
       11    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
